id,age,gender,monthly_earn1,wta
1,33,Female,"Between MWK100,000 to MWK124,999",60
2,55,Female,"More than MWK200,000",220
3,28,Female,NA,NA
4,19,Male,"Between MWK75,000 to MWK99,999",40
5,24,Male,"Between MWK100,000 to MWK124,999",60
6,60,Female,"Between MWK75,000 to MWK99,999",40
7,19,Female,"Between MWK50,000 to MWK74,999",20
8,34,Female,I don't know,NA
9,23,Male,"Between MWK100,000 to MWK124,999",60
10,22,Male,"Between MWK50,000 to MWK74,999",20
11,25,Female,I don't know,NA
12,22,Female,"Between MWK50,000 to MWK74,999",20
13,38,Female,"Between MWK125,000 to MWK149,999",90
14,30,Female,I don't know,NA
15,32,Female,"Between MWK150,000 to MWK174,999",120
16,26,Male,"More than MWK200,000",220
17,24,Female,Prefer not to say,NA
18,26,Male,"Between MWK150,000 to MWK174,999",120
19,73,Male,NA,NA
20,38,Female,NA,NA
21,26,Female,NA,NA
22,38,Male,"More than MWK200,000",220
23,60,Male,NA,NA
24,43,Female,"Between MWK100,000 to MWK124,999",60
25,23,Female,"Between MWK50,000 to MWK74,999",20
26,31,Male,NA,NA
27,28,Male,"Between MWK100,000 to MWK124,999",60
28,51,Male,"Between MWK50,000 to MWK74,999",20
29,46,Male,"Between MWK125,000 to MWK149,999",90
30,24,Female,"Between MWK25,000 to MWK49,999",10
31,19,Female,"Between MWK75,000 to MWK99,999",40
32,23,Female,"Between MWK125,000 to MWK149,999",90
33,29,Male,"Between MWK100,000 to MWK124,999",60
34,48,Female,"Between MWK25,000 to MWK49,999",10
35,44,Female,"Between MWK25,000 to MWK49,999",10
36,45,Male,"Between MWK75,000 to MWK99,999",40
37,35,Female,"Between MWK125,000 to MWK149,999",90
38,44,Female,"Between MWK25,000 to MWK49,999",10
39,44,Female,Prefer not to say,NA
40,28,Female,I don't know,NA
41,28,Female,"Between MWK50,000 to MWK74,999",20
42,22,Female,NA,NA
43,47,Female,"Between MWK100,000 to MWK124,999",60
44,38,Female,NA,NA
45,42,Male,NA,NA
46,22,Female,NA,NA
47,19,Male,NA,NA
48,21,Female,"Between MWK50,000 to MWK74,999",20
49,28,Female,"Between MWK125,000 to MWK149,999",90
50,36,Female,NA,NA
51,37,Female,NA,NA
52,43,Male,"Between MWK25,000 to MWK49,999",10
53,33,Female,NA,NA
54,36,Female,Prefer not to say,NA
55,20,Female,NA,NA
56,19,Female,"Between MWK75,000 to MWK99,999",40
57,32,Male,"Between MWK100,000 to MWK124,999",60
58,71,Male,"Between MWK100,000 to MWK124,999",60
59,51,Male,NA,NA
60,45,Female,NA,NA
